emp_no,first_name,last_name,title,to_date,from_date,salary
234816,Filipe,Langford,Senior Engineer,9999-01-01,2002-07-13,51399
96138,Lidong,Ghalwash,Senior Engineer,9999-01-01,2002-07-13,40000
57715,Shaibal,Chinen,Senior Staff,9999-01-01,2002-07-13,40000
205245,Angus,Raczkowsky,Senior Engineer,9999-01-01,2002-07-11,54462
58475,Angel,Chaudhury,Senior Engineer,9999-01-01,2002-07-11,40000
226568,Deniz,Frezza,Senior Staff,9999-01-01,2002-07-10,52504
281118,Munir,Leaver,Senior Staff,9999-01-01,2002-07-10,72801
105264,Chrisa,Simkin,Senior Staff,9999-01-01,2002-07-10,56850
35333,Hideyuki,Veldwijk,Senior Engineer,9999-01-01,2002-07-10,43872
292198,Geoff,Gien,Senior Staff,9999-01-01,2002-07-10,91548
427055,Toong,Rosis,Senior Engineer,9999-01-01,2002-07-09,40000
35570,Baocai,Katzenelson,Senior Engineer,9999-01-01,2002-07-09,55970
12601,Ghassan,Simkin,Senior Engineer,9999-01-01,2002-07-09,41714
488941,Wayne,Zeidenstein,Senior Staff,9999-01-01,2002-07-09,46812
32465,Yucel,Dymetman,Senior Engineer,9999-01-01,2002-07-09,40000
232276,Berna,Ruemmler,Senior Staff,9999-01-01,2002-07-09,40000
283185,Fabrizio,Schapire,Senior Engineer,9999-01-01,2002-07-09,40000
223543,Basil,Peres,Senior Engineer,9999-01-01,2002-07-08,61263
226275,Alain,Katiyar,Senior Engineer,9999-01-01,2002-07-08,77454
56808,Yuriy,Anick,Senior Staff,9999-01-01,2002-07-08,40000
275189,Sachar,Katzenelson,Engineer,9999-01-01,2002-07-08,45637
486012,Ramzi,Shanbhogue,Senior Engineer,9999-01-01,2002-07-08,51735
298261,Tommaso,Mateescu,Senior Engineer,9999-01-01,2002-07-07,47420
20558,Toong,Panangaden,Senior Staff,9999-01-01,2002-07-07,40000
207793,Magdalena,Passafiume,Senior Engineer,9999-01-01,2002-07-07,40000
81079,Nahla,Mellouli,Senior Staff,9999-01-01,2002-07-07,53145
415320,Mingzeng,Mullainathan,Senior Engineer,9999-01-01,2002-07-07,40000
445910,Patricia,Fritzsche,Senior Staff,9999-01-01,2002-07-06,53423
106417,Kwun,Clouatre,Senior Staff,9999-01-01,2002-07-06,40000
285002,Turgut,Ranai,Senior Engineer,9999-01-01,2002-07-06,42271
259583,Kiyomitsu,Swan,Senior Staff,9999-01-01,2002-07-06,40000
273601,Anwar,Seiwald,Senior Engineer,9999-01-01,2002-07-05,40000
401017,Shigeu,Provine,Senior Staff,9999-01-01,2002-07-05,76730
413160,Tadanori,Felcyn,Senior Staff,9999-01-01,2002-07-05,94214
109189,Billie,Codenie,Senior Staff,9999-01-01,2002-07-05,73531
416690,Ulf,Mahmud,Senior Staff,9999-01-01,2002-07-05,80568
36573,Xuedong,Lakshmanan,Senior Engineer,9999-01-01,2002-07-04,40000
451010,Ger,Schusler,Senior Engineer,9999-01-01,2002-07-04,51933
262216,Ennio,Auria,Senior Staff,9999-01-01,2002-07-04,76452
109809,Kazuhide,Cherinka,Senior Engineer,9999-01-01,2002-07-04,41558
295365,Jianhui,Bridgland,Senior Engineer,9999-01-01,2002-07-04,47401
241880,Moty,Erev,Senior Staff,9999-01-01,2002-07-04,66915
278531,Zeljko,Serre,Senior Staff,9999-01-01,2002-07-04,55662
77325,Feiyu,Brickell,Senior Staff,9999-01-01,2002-07-03,70697
492323,Houman,Stanfel,Senior Staff,9999-01-01,2002-07-02,96794
69647,Deborah,Pileggi,Senior Staff,9999-01-01,2002-07-02,64210
24596,Ayonca,Stranks,Senior Staff,9999-01-01,2002-07-02,68819
59783,Volkmar,Raczkowsky,Senior Staff,9999-01-01,2002-07-02,60047
289961,Kitty,Ponthieu,Senior Engineer,9999-01-01,2002-07-02,66418
462289,Kenroku,Adachi,Senior Engineer,9999-01-01,2002-07-01,44191
50512,Yolla,Shimshoni,Senior Engineer,9999-01-01,2002-07-01,40000
35510,JoAnne,Merks,Senior Engineer,9999-01-01,2002-06-30,40000
255499,Dannz,Engelmann,Senior Staff,9999-01-01,2002-06-30,72737
24383,Aksel,Erev,Senior Engineer,9999-01-01,2002-06-30,40000
265161,Hausi,Pfau,Senior Staff,9999-01-01,2002-06-30,40000
285243,Lakshmi,Vieth,Senior Staff,9999-01-01,2002-06-30,52052
61465,Sumant,Huttel,Senior Staff,9999-01-01,2002-06-29,44950
104610,Fusako,Peak,Senior Staff,9999-01-01,2002-06-29,61345
15066,Tomokazu,Oaver,Senior Engineer,9999-01-01,2002-06-29,43455
488121,Urs,Schneeberger,Senior Engineer,9999-01-01,2002-06-29,40000
290536,Kiam,Janetzko,Senior Engineer,9999-01-01,2002-06-28,40000
45977,Ulf,Wiegley,Senior Staff,9999-01-01,2002-06-28,44570
211837,Billur,Porotnikoff,Senior Engineer,9999-01-01,2002-06-28,40000
281699,Filipe,Penz,Senior Staff,9999-01-01,2002-06-28,40000
458058,Marjo,Klassen,Senior Engineer,9999-01-01,2002-06-26,42140
43996,Hiroyasu,Bodoff,Senior Engineer,9999-01-01,2002-06-25,57941
33205,Matk,Egerstedt,Senior Engineer,9999-01-01,2002-06-25,67507
280598,Takanari,Lovengreen,Senior Staff,9999-01-01,2002-06-25,40920
262041,Eckart,Valette,Senior Engineer,9999-01-01,2002-06-24,40000
449604,Ottavia,Varman,Senior Engineer,9999-01-01,2002-06-24,45571
208256,Hugh,Mungall,Senior Engineer,9999-01-01,2002-06-24,40000
285294,Sorina,Kitai,Senior Engineer,9999-01-01,2002-06-24,56537
490453,Eckart,Baik,Senior Engineer,9999-01-01,2002-06-24,40000
105167,Lillian,Comyn,Senior Staff,9999-01-01,2002-06-23,68908
471942,Heekeun,Hardjono,Senior Engineer,9999-01-01,2002-06-23,59805
239873,Mohd,Baaz,Senior Engineer,9999-01-01,2002-06-23,47475
462859,Xinglin,Gire,Senior Engineer,9999-01-01,2002-06-23,40000
221475,Wilmer,Engelmann,Senior Engineer,9999-01-01,2002-06-22,43027
474194,Ult,Iisaka,Senior Engineer,9999-01-01,2002-06-22,46451
277869,Berto,Kakkar,Senior Engineer,9999-01-01,2002-06-22,55457
73868,Moon,Goodrum,Senior Engineer,9999-01-01,2002-06-22,79654
30606,Chuanyi,Shrader,Senior Engineer,9999-01-01,2002-06-22,50508
440788,Zita,Mawatari,Senior Engineer,9999-01-01,2002-06-21,41491
254880,Tran,Rassart,Senior Staff,9999-01-01,2002-06-21,77640
494853,Yechiam,Lunt,Senior Staff,9999-01-01,2002-06-21,72948
65594,Dietrich,Sadowski,Senior Engineer,9999-01-01,2002-06-21,40000
44682,Souichi,Boissier,Senior Staff,9999-01-01,2002-06-19,82058
413905,Piyawadee,Gelosh,Engineer,9999-01-01,2002-06-19,55848
22012,DeForest,Armand,Senior Engineer,9999-01-01,2002-06-18,42886
209316,Jaana,Kuszyk,Senior Engineer,9999-01-01,2002-06-18,40000
475810,Martial,Bellone,Senior Staff,9999-01-01,2002-06-18,61994
87637,Qingxiang,Aamodt,Senior Staff,9999-01-01,2002-06-18,40000
445220,Florina,Luft,Senior Staff,9999-01-01,2002-06-17,58098
256852,Shir,Tanemo,Senior Staff,9999-01-01,2002-06-17,61271
404674,Rajmohan,Furedi,Senior Engineer,9999-01-01,2002-06-17,53382
35558,Kshitij,Staudhammer,Senior Staff,9999-01-01,2002-06-17,62866
257274,Yagil,Perfilyeva,Senior Engineer,9999-01-01,2002-06-17,40000
47766,Gunilla,Simmel,Senior Staff,9999-01-01,2002-06-17,55261
95541,Chinho,Whitcomb,Senior Engineer,9999-01-01,2002-06-17,40000
486925,Saeed,Hatcliff,Senior Engineer,9999-01-01,2002-06-16,44066
409685,Hausi,Brandsma,Senior Engineer,9999-01-01,2002-06-16,43218
484799,Peternela,Roohalamini,Senior Engineer,9999-01-01,2002-06-16,46839
47293,Unal,Beidas,Senior Engineer,9999-01-01,2002-06-16,40000
48371,Valery,Krupka,Senior Staff,9999-01-01,2002-06-16,60182
33216,Zdislav,Thombley,Senior Staff,9999-01-01,2002-06-15,68912
405774,Weiyi,Cmelik,Senior Engineer,9999-01-01,2002-06-14,40000
242863,Debaprosad,Otillio,Senior Staff,9999-01-01,2002-06-14,55529
234703,Deborah,Levasseur,Engineer,9999-01-01,2002-06-14,58316
50590,Leucio,Calkin,Senior Engineer,9999-01-01,2002-06-13,40000
19744,Aleksander,Skafidas,Senior Engineer,9999-01-01,2002-06-13,59739
427817,Vishv,Kading,Senior Engineer,9999-01-01,2002-06-13,40000
243208,Sachin,Biros,Senior Staff,9999-01-01,2002-06-13,40000
85811,Dayanand,Bain,Senior Engineer,9999-01-01,2002-06-13,60982
445410,Elvia,Brodie,Senior Engineer,9999-01-01,2002-06-12,66788
92983,Masoud,Rosca,Senior Engineer,9999-01-01,2002-06-12,48444
35865,Claudi,Fujisaki,Senior Engineer,9999-01-01,2002-06-11,40000
452451,Duro,Matzen,Engineer,9999-01-01,2002-06-10,64113
407956,Yonghong,Kawashima,Senior Staff,9999-01-01,2002-06-10,91362
401298,Narain,Plotkin,Senior Staff,9999-01-01,2002-06-09,40000
484282,Tetsushi,Anick,Senior Staff,9999-01-01,2002-06-09,53111
450217,Petter,Gluchowski,Senior Engineer,9999-01-01,2002-06-09,40000
64969,Jasminko,Kawashima,Senior Engineer,9999-01-01,2002-06-09,40000
482539,Bikash,Pehl,Senior Engineer,9999-01-01,2002-06-08,40000
407824,Sreekrishna,Kalsbeek,Senior Engineer,9999-01-01,2002-06-08,64167
44060,Luigi,Brattka,Senior Engineer,9999-01-01,2002-06-07,40000
451441,Sahrah,Rijckaert,Senior Staff,9999-01-01,2002-06-07,56396
228524,Erzsebet,Androutsos,Senior Engineer,9999-01-01,2002-06-07,40000
102483,Qingxiang,Boissier,Senior Engineer,9999-01-01,2002-06-07,40000
108985,Masanao,Bressoud,Senior Engineer,9999-01-01,2002-06-06,59458
489782,Jiong,Schnabel,Senior Engineer,9999-01-01,2002-06-06,60818
447132,Masaru,Crelier,Senior Staff,9999-01-01,2002-06-06,50938
65568,Mark,Ventosa,Senior Engineer,9999-01-01,2002-06-06,44039
39883,Moriyoshi,Luan,Senior Engineer,9999-01-01,2002-06-06,40000
419062,Stafford,Walstra,Senior Engineer,9999-01-01,2002-06-05,70299
108179,Constantijn,Crelier,Senior Engineer,9999-01-01,2002-06-05,54941
400141,Suebskul,Rassart,Senior Engineer,9999-01-01,2002-06-04,46768
96083,Khalil,Muchinsky,Senior Staff,9999-01-01,2002-06-03,47965
29120,Parto,Bergere,Senior Staff,9999-01-01,2002-06-03,85465
84809,Hironoby,Zobel,Senior Engineer,9999-01-01,2002-06-03,40000
250129,Karoline,Duclos,Senior Engineer,9999-01-01,2002-06-03,40000
465904,Lorien,Schmezko,Senior Engineer,9999-01-01,2002-06-02,40000
409153,Arie,Backhouse,Senior Staff,9999-01-01,2002-06-02,80090
438544,Faiza,Lukaszewicz,Senior Engineer,9999-01-01,2002-06-02,40000
229461,Berto,Raczkowsky,Senior Staff,9999-01-01,2002-06-02,77682
437678,Val,Pocchiola,Senior Engineer,9999-01-01,2002-06-01,44462
202360,Indrajit,Jeong,Senior Staff,9999-01-01,2002-06-01,48372
298276,Zito,Sgarro,Senior Engineer,9999-01-01,2002-06-01,40000
18946,Gio,Warwick,Senior Engineer,9999-01-01,2002-06-01,40000
14723,Constantino,Assaf,Senior Staff,9999-01-01,2002-06-01,40000
27396,Brendon,Zykh,Senior Engineer,9999-01-01,2002-06-01,55838
91228,Hauke,Leijenhorst,Senior Engineer,9999-01-01,2002-05-31,54436
274044,Yuchang,Erni,Senior Engineer,9999-01-01,2002-05-30,55056
34600,Godehard,Middleton,Senior Staff,9999-01-01,2002-05-29,67242
229649,DAIDA,Montresor,Senior Engineer,9999-01-01,2002-05-29,40000
262663,Fumino,Riexinger,Senior Staff,9999-01-01,2002-05-28,42308
413791,Jiong,Zaumen,Senior Staff,9999-01-01,2002-05-28,60814
480670,Sanjoy,Penz,Senior Staff,9999-01-01,2002-05-28,92833
473812,Khue,Levergood,Senior Staff,9999-01-01,2002-05-28,79856
284056,Tze,Ambroszkiewicz,Senior Engineer,9999-01-01,2002-05-27,63252
261527,Arunachalam,Butner,Senior Engineer,9999-01-01,2002-05-27,41800
498311,Rajmohan,Zeidenstein,Senior Staff,9999-01-01,2002-05-27,46937
30948,Xinan,Lunt,Senior Engineer,9999-01-01,2002-05-27,50840
266827,Udi,Gronowski,Senior Engineer,9999-01-01,2002-05-26,40000
449520,Navid,Mansanne,Senior Staff,9999-01-01,2002-05-26,40000
65663,Rafael,Leppanen,Senior Engineer,9999-01-01,2002-05-26,50166
412444,Gio,Fritzsche,Senior Engineer,9999-01-01,2002-05-26,53835
93291,Kasidit,Hofstetter,Senior Staff,9999-01-01,2002-05-26,60896
444553,Nikolaus,Gluchowski,Senior Staff,9999-01-01,2002-05-25,97585
67227,Shuky,Showalter,Senior Engineer,9999-01-01,2002-05-24,40000
39405,Toong,Millington,Senior Engineer,9999-01-01,2002-05-24,50102
285348,Jianhui,Bardell,Senior Engineer,9999-01-01,2002-05-24,40000
109010,Shaibal,Yavatkar,Senior Engineer,9999-01-01,2002-05-23,40000
416096,Nobuyoshi,Ginneken,Senior Engineer,9999-01-01,2002-05-23,47236
412093,Avishai,Engelmann,Senior Staff,9999-01-01,2002-05-23,91917
64556,Xiaopeng,Fritzsche,Senior Engineer,9999-01-01,2002-05-21,40000
481695,Bikash,Pusterhofer,Senior Staff,9999-01-01,2002-05-21,40000
203318,Xudong,Cooley,Senior Engineer,9999-01-01,2002-05-21,56536
455054,Ingemar,Lores,Senior Staff,9999-01-01,2002-05-21,63990
471991,Janche,Farrag,Senior Engineer,9999-01-01,2002-05-21,40000
459483,Shmuel,Docker,Senior Staff,9999-01-01,2002-05-21,69722
290062,Godehard,Morrow,Senior Staff,9999-01-01,2002-05-21,66211
19120,Giri,Qiwen,Engineer,9999-01-01,2002-05-20,49416
70164,Ult,Bergere,Senior Engineer,9999-01-01,2002-05-20,52833
87769,Subhrajyoti,Tomescu,Senior Engineer,9999-01-01,2002-05-19,76979
11134,Sachar,Rajcani,Senior Engineer,9999-01-01,2002-05-19,58731
266333,Moss,Oppitz,Senior Staff,9999-01-01,2002-05-19,52343
277729,Shirish,Nanard,Senior Staff,9999-01-01,2002-05-19,40000
59242,Fun,Peak,Senior Staff,9999-01-01,2002-05-19,65859
281084,Sven,Bugaenko,Senior Engineer,9999-01-01,2002-05-18,41542
472720,Gal,Sudbeck,Senior Engineer,9999-01-01,2002-05-18,40000
412644,Gritta,Kropatsch,Senior Staff,9999-01-01,2002-05-17,56090
274463,Uli,Glowinski,Senior Engineer,9999-01-01,2002-05-17,40000
464504,Weiwu,Shrader,Senior Staff,9999-01-01,2002-05-16,60909
401000,Barry,Reeker,Senior Engineer,9999-01-01,2002-05-16,70084
459031,Kazuhiro,Raoux,Senior Staff,9999-01-01,2002-05-16,55137
401410,Hitomi,Domenig,Senior Staff,9999-01-01,2002-05-16,40000
266049,Odysseas,Delaune,Senior Staff,9999-01-01,2002-05-15,67285
283496,Kenroku,Flasterstein,Senior Staff,9999-01-01,2002-05-15,69688
486372,Hsiangchu,Renear,Senior Staff,9999-01-01,2002-05-14,63537
431480,Zhigen,Christ,Senior Staff,9999-01-01,2002-05-13,63778
31956,Ziyad,Gecsei,Senior Staff,9999-01-01,2002-05-13,59475
467357,Suebskul,Lichtman,Senior Engineer,9999-01-01,2002-05-13,48994
274554,Sakthirel,Rattan,Senior Engineer,9999-01-01,2002-05-13,56199
271603,Szabolcs,Carrere,Senior Staff,9999-01-01,2002-05-12,40000
292776,Marie,Zeidenstein,Senior Staff,9999-01-01,2002-05-12,42843
65858,Martins,Awdeh,Senior Engineer,9999-01-01,2002-05-11,40189
108053,Abdelghani,Nilsson,Senior Staff,9999-01-01,2002-05-11,76316
36874,Genki,Aloia,Senior Staff,9999-01-01,2002-05-11,62935
474895,Michaela,Hertweck,Senior Staff,9999-01-01,2002-05-10,46350
471529,Munir,Aloia,Senior Staff,9999-01-01,2002-05-10,76906
35046,Sachem,Luders,Senior Staff,9999-01-01,2002-05-10,62184
476933,Mayuri,Kobara,Senior Staff,9999-01-01,2002-05-10,40000
475221,Yuqun,Rassart,Senior Engineer,9999-01-01,2002-05-10,65150
23369,Khalil,Zykh,Senior Staff,9999-01-01,2002-05-09,61057
202418,Xumin,Vuskovic,Senior Staff,9999-01-01,2002-05-09,55459
264126,Toshiki,Thimonier,Engineer,9999-01-01,2002-05-09,71356
204131,Kazuhira,Luit,Senior Staff,9999-01-01,2002-05-09,40000
422685,Reinhard,Oxman,Senior Engineer,9999-01-01,2002-05-08,71169
417510,Yonghong,Ernst,Senior Staff,9999-01-01,2002-05-08,57967
426864,Dines,Rissanen,Senior Engineer,9999-01-01,2002-05-08,58175
99161,Ramya,Heyers,Senior Engineer,9999-01-01,2002-05-08,51933
66425,Mats,Eppinger,Senior Engineer,9999-01-01,2002-05-07,57825
287152,Raimond,Comte,Senior Staff,9999-01-01,2002-05-07,40000
481872,Moty,Usdin,Senior Engineer,9999-01-01,2002-05-07,40000
223927,Bernice,Furudate,Senior Engineer,9999-01-01,2002-05-07,40000
419470,Larisa,Antonakopoulos,Senior Staff,9999-01-01,2002-05-07,40000
271272,Willard,Matheson,Senior Engineer,9999-01-01,2002-05-07,40000
426274,Valdiodio,Pillow,Senior Engineer,9999-01-01,2002-05-06,59911
444641,Unal,Zallocco,Senior Engineer,9999-01-01,2002-05-06,58458
498670,Aram,Menyhert,Senior Staff,9999-01-01,2002-05-06,69027
228655,Jiong,Blokdijk,Senior Staff,9999-01-01,2002-05-05,71596
422614,Anneke,Wuwongse,Senior Engineer,9999-01-01,2002-05-05,40000
16000,Marek,Demos,Senior Engineer,9999-01-01,2002-05-05,40000
107245,Horward,Docker,Senior Staff,9999-01-01,2002-05-05,68492
18933,Barun,Panienski,Senior Engineer,9999-01-01,2002-05-04,47862
272945,Tran,Mayerwieser,Senior Engineer,9999-01-01,2002-05-03,40000
99981,Rimon,Grandbois,Senior Engineer,9999-01-01,2002-05-03,48230
415404,Zhongwei,Gonthier,Senior Engineer,9999-01-01,2002-05-03,40000
411544,Byong,Legleitner,Senior Staff,9999-01-01,2002-05-02,71666
45828,Panayotis,Litzkow,Senior Engineer,9999-01-01,2002-05-02,65770
70530,Qunsheng,Stille,Senior Engineer,9999-01-01,2002-05-02,40000
442862,Munehiro,Dayang,Senior Staff,9999-01-01,2002-05-02,43013
297486,Qingxiang,Ducloy,Senior Staff,9999-01-01,2002-05-02,40000
293946,Nadjib,Merro,Senior Staff,9999-01-01,2002-05-01,45167
221356,Pradeep,Hagimont,Senior Engineer,9999-01-01,2002-05-01,43732
254292,Pranas,Eppinger,Senior Staff,9999-01-01,2002-05-01,82442
217451,Sanjoy,Giarratana,Senior Staff,9999-01-01,2002-04-30,57706
216965,Badri,Birke,Senior Staff,9999-01-01,2002-04-30,54761
271344,Eckart,Rodiger,Senior Staff,9999-01-01,2002-04-30,40000
413671,Aral,Moehrke,Senior Staff,9999-01-01,2002-04-30,78073
284809,Tru,Danner,Senior Engineer,9999-01-01,2002-04-30,76478
206416,Ronnie,Kopetz,Senior Staff,9999-01-01,2002-04-29,59918
254043,Saddek,Peng,Senior Staff,9999-01-01,2002-04-29,40000
490337,Faiza,Clemencon,Senior Engineer,9999-01-01,2002-04-29,40000
232416,Tokuyasu,Binkley,Senior Engineer,9999-01-01,2002-04-29,59754
238847,Barton,Buchter,Senior Engineer,9999-01-01,2002-04-29,40000
90261,Rimli,Merle,Senior Engineer,9999-01-01,2002-04-28,40000
448037,Niclas,Trachtenberg,Senior Engineer,9999-01-01,2002-04-28,57671
210671,Serap,Tsukuda,Senior Staff,9999-01-01,2002-04-28,40000
460851,Uzi,Anily,Senior Staff,9999-01-01,2002-04-28,40000
75589,Sudharsan,Ghazalie,Senior Staff,9999-01-01,2002-04-27,41806
447008,Zsolt,Cooman,Senior Staff,9999-01-01,2002-04-27,67211
214078,Surveyors,Merli,Senior Staff,9999-01-01,2002-04-27,76255
230188,Snehasis,Krychniak,Senior Staff,9999-01-01,2002-04-27,40000
44875,Goh,Reinhart,Senior Staff,9999-01-01,2002-04-26,73457
462140,Josyula,Chleq,Senior Engineer,9999-01-01,2002-04-26,40000
485212,Magdalena,Besancenot,Senior Engineer,9999-01-01,2002-04-26,40000
226987,Arif,Delgrossi,Engineer,9999-01-01,2002-04-25,55209
107101,Moni,Crabtree,Senior Engineer,9999-01-01,2002-04-24,40232
218927,Saddek,Jenevein,Senior Staff,9999-01-01,2002-04-23,60013
97104,Chiranjit,Ashish,Senior Engineer,9999-01-01,2002-04-23,60436
214753,Stafford,dAstous,Senior Engineer,9999-01-01,2002-04-22,40000
481526,Shim,Stemann,Senior Engineer,9999-01-01,2002-04-22,40000
108627,Kenroku,Harbusch,Senior Staff,9999-01-01,2002-04-22,56920
244654,Suzette,Katiyar,Senior Engineer,9999-01-01,2002-04-21,55724
228285,Weiwu,Pollock,Senior Engineer,9999-01-01,2002-04-21,40000
424205,Paris,Shumilov,Senior Engineer,9999-01-01,2002-04-21,40000
263061,Xiaobin,Jenevein,Senior Staff,9999-01-01,2002-04-21,65580
297639,Serenella,Auyong,Senior Engineer,9999-01-01,2002-04-21,48298
413911,Siamak,Karlin,Senior Engineer,9999-01-01,2002-04-21,65383
212742,Gal,Melter,Senior Staff,9999-01-01,2002-04-20,69846
292464,Gennady,Choobineh,Senior Engineer,9999-01-01,2002-04-19,40000
424250,Suzette,Wendorf,Senior Staff,9999-01-01,2002-04-19,63665
72400,Charmane,Merel,Senior Staff,9999-01-01,2002-04-19,40000
456361,Bouchung,Georgatos,Senior Engineer,9999-01-01,2002-04-18,40000
19422,Florian,Budinsky,Senior Engineer,9999-01-01,2002-04-18,48435
267012,Armond,Lodder,Senior Engineer,9999-01-01,2002-04-17,49569
435126,Zeydy,Bernardeschi,Senior Staff,9999-01-01,2002-04-17,41687
98766,Gretta,Buchter,Senior Engineer,9999-01-01,2002-04-16,69215
19493,Caolyn,Tramer,Senior Engineer,9999-01-01,2002-04-16,59120
410029,Martins,Lung,Senior Engineer,9999-01-01,2002-04-16,63720
86674,Fumiya,Candan,Senior Staff,9999-01-01,2002-04-16,40000
410798,Fumiyo,Plumb,Senior Engineer,9999-01-01,2002-04-16,51953
439518,Kenroku,Homond,Senior Engineer,9999-01-01,2002-04-15,40000
202677,LiMin,Decaestecker,Senior Engineer,9999-01-01,2002-04-15,40000
105886,Stafford,Mitchem,Senior Staff,9999-01-01,2002-04-15,79210
259726,Houman,Cyne,Senior Engineer,9999-01-01,2002-04-15,40000
474388,Shooichi,Bach,Senior Staff,9999-01-01,2002-04-14,64476
239287,Mario,Katiyar,Senior Engineer,9999-01-01,2002-04-14,48533
438267,Malu,Sichman,Senior Staff,9999-01-01,2002-04-14,44058
401593,Susanna,Seiwald,Senior Staff,9999-01-01,2002-04-14,65315
443823,Chaitali,Axelband,Senior Staff,9999-01-01,2002-04-13,54033
481502,Bikash,Fordan,Senior Engineer,9999-01-01,2002-04-13,40000
104941,Yonghong,Schaap,Senior Engineer,9999-01-01,2002-04-13,43708
216138,Giordano,Shanbhogue,Senior Engineer,9999-01-01,2002-04-13,40000
440010,King,Lamma,Senior Engineer,9999-01-01,2002-04-12,40000
